# TSV file of geolocation rules with the format:
# '<raw_geolocation><tab><annotated_geolocation>' where the raw and annotated geolocations
# are formatted as '<region>/<country>/<division>/<location>'
# If creating a general rule, then the raw field value can be substituted with '*'
# Lines starting with '#' will be ignored as comments.
# Trailing '#' will be ignored as comments.
Africa/Nigeria/Adamawa State/*	Africa/Nigeria/Adamawa/*
Africa/Nigeria/Benue State/*	Africa/Nigeria/Benue/*
Africa/Nigeria/Benue/*	Africa/Nigeria/Benue/*
Africa/Nigeria/Cross River State/*	Africa/Nigeria/Cross River/*
Africa/Nigeria/Cross River/*	Africa/Nigeria/Cross River/*
Africa/Nigeria/Ekiti State/*	Africa/Nigeria/Ekiti/*
Africa/Nigeria/Ekiti/*	Africa/Nigeria/Ekiti/*
Africa/Nigeria/Ekiti State/*	Africa/Nigeria/Ekiti/*
Africa/Nigeria/Enugu State/*	Africa/Nigeria/Enugu/*
Africa/Nigeria/Kaduna State/*	Africa/Nigeria/Kaduna/*
Africa/Nigeria/Kaduna/*	Africa/Nigeria/Kaduna/*
Africa/Nigeria/Nasarawa State/*	Africa/Nigeria/Nasarawa/*
Africa/Nigeria/Nasarawa/*	Africa/Nigeria/Nasarawa/*
Africa/Nigeria/Ondo State/*	Africa/Nigeria/Ondo/*
Africa/Nigeria/Ondo/*	Africa/Nigeria/Ondo/*
Africa/Nigeria/Plateau State/*	Africa/Nigeria/Plateau/*
Africa/Nigeria/Eddo/*	Africa/Nigeria/Edo/*
Africa/Nigeria/Tararba/*	Africa/Nigeria/Taraba/*
Africa/Nigeria/Abakaliki/*	Africa/Nigeria/Ebonyi/Abakaliki
Africa/Nigeria/Eguare-Egoro/*	Africa/Nigeria/Edo/Eguare-Egoro
Africa/Nigeria/Ekpoma/*	Africa/Nigeria/Edo/Ekpoma
Africa/Nigeria/Ifon/*	Africa/Nigeria/Ondo/Ifon
Africa/Nigeria/Okeluse/*	Africa/Nigeria/Ondo/Okeluse
Africa/Nigeria/Okhuesan/*	Africa/Nigeria/Edo/Okhuesan
Africa/Nigeria/Owo/*	Africa/Nigeria/Ondo/Owo
