strain	date	abbr_authors	lineage	genbank_accession	author	accession	host	country	division
803204	1972-12-29 (1972-01-01 - 1972-12-31)	Welch et al.	LIV_V	MG812648	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812648	Homo sapiens	Liberia	
803209	1975-12-31 (1975-02-13 - 1975-12-31)	Welch et al.	LIV_V	MG812647	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812647	Homo sapiens	Sierra Leone	
803213	1974-07-13 (1973-06-26 - 1975-07-01)	Bowen et al.	LII	AF181854	Bowen,M.D.,Rollin,P.E.,Ksiazek,T.G.,Hustad,H.L.,Bausch,D.G.,Demby,A.H.,Bajani,M.D.,Peters,C.J.,Nichol,S.T.	AF181854			
806387	1981-12-31 (1981-02-10 - 1981-12-31)	Welch et al.	LIV_V	MG812645	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812645	Homo sapiens	Guinea	
806568	1979-12-31 (1979-02-20 - 1979-12-31)	Welch et al.	LIV_V	MG812643	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812643		Sierra Leone	
806593	1989-12-31 (1989-03-05 - 1989-12-31)	Welch et al.	LII	MG812641	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812641	Homo sapiens	Nigeria	
806827	1977-12-31 (1977-02-13 - 1977-12-31)	Welch et al.	LIV_V	MG812639	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812639	Homo sapiens	Sierra Leone	
806829	1981-01-01 (1981-01-01 - 1981-11-25)	Welch et al.	LIV_V	MG812636	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812636	Homo sapiens	Liberia	
807876	1981-12-28 (1981-01-01 - 1981-12-31)	Welch et al.	LIII	MG812635	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812635	Homo sapiens	Nigeria	
807978	1981-12-31 (1981-02-08 - 1981-12-31)	Welch et al.	LIV_V	MG812632	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812632	Homo sapiens	Liberia	
807987	1981-12-31 (1981-02-08 - 1981-12-31)	Welch et al.	LIV_V	MG812631	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812631	Homo sapiens	Liberia	
807988	1996-01-01 (1996-01-01 - 1996-11-20)	Welch et al.	LIV_V	MG812685	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812685	Homo sapiens	Guinea	
808714	1980-12-31 (1980-03-04 - 1980-12-31)	Welch et al.	LIV_V	MG812683	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812683	Homo sapiens	Sierra Leone	
810801	1974-01-01 (1974-01-01 - 1974-11-23)	Welch et al.	LII	MG812681	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812681	Homo sapiens	Nigeria	
811606	2010-12-31 (2010-02-07 - 2010-12-31)	Welch et al.	LIV_V	MG812679	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812679	Homo sapiens	Liberia	
812285	1976-01-01 (1976-01-01 - 1976-11-25)	Welch et al.	LI	MG812675	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812675	Homo sapiens	Nigeria	
812337	2014-12-31 (2014-02-09 - 2014-12-31)	Welch et al.	LIV_V	MG812658	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812658	Homo sapiens	Liberia	
812673	2015-12-31 (2015-02-09 - 2015-12-31)	Welch et al.	LIV_V	MG812650	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812650	Homo sapiens	Liberia	
813877	1989-12-31 (1989-02-08 - 1989-12-31)	Spengler et al.	LII	OM140827	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140827	Homo sapiens	Nigeria	
813878	2007-12-31 (2007-02-08 - 2007-12-31)	Spengler et al.	LIII	OM140829	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140829	Homo sapiens	Nigeria	
813888	2000-01-01 (2000-01-01 - 2000-11-16)	Spengler et al.	LIII	OM140831	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140831	Homo sapiens	Nigeria	
GA391	1978-05-12 (1976-09-04 - 1980-04-01)	Clegg et al.	LIII	X52400	Clegg,J.C.,Wilson,S.M.,Oram,J.D.,Clegg,J.C.S.	X52400			
GA391_fy6zb2	1977-01-01 (1977-01-01 - 1977-11-17)	Ashraf et al.	LIII	OL774861	Ashraf,S.,Love,H.,Burton,C.,Carmichael,S.,Davis,C.,Filipe,A.D.,Roddy,S.,Smollett,K.,Summers,S.,Tong,L.,Richards,K.S.,Thomson,E.C.	OL774861	Homo sapiens	Nigeria	
LASV/H.sapiens-tc/NGA/2013/IRR_002	2013-01-17	Ehichioya et al.	LIII	MK107965	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107965	Homo sapiens	Nigeria	Benue
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0187	2016-01-17	Odia et al.	LIII	MH053478	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053478	Homo sapiens	Nigeria	
Weller	1981-11-09 (1980-12-14 - 1982-08-14)	Hajjaj et al.	LIII	AY628206	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628206			
LASV/H.sapiens-tc/NGA/2016/IRR_023	2016-02-23	Ehichioya et al.	LIII	MK107929	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107929	Homo sapiens	Nigeria	Kaduna
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0717	2016-02-23	Odia et al.	LIII	MH053476	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053476	Homo sapiens	Nigeria	
Nig08-A18	2008-01-01 (2008-01-01 - 2008-11-22)	Ehichioya et al.	LIII	GU481070	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481070	Homo sapiens	Nigeria	Plateau
Nig08-A19	2008-01-01 (2008-01-01 - 2008-11-21)	Ehichioya et al.	LIII	GU481072	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481072	Homo sapiens	Nigeria	Plateau
H.sapiens-wt/NGA/2018/NML_61	2018-12-31 (2018-02-18 - 2018-12-31)	Stein et al.	LIII	MZ169799	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169799	Homo sapiens	Nigeria	
LASV/H.sapiens-tc/NGA/2016/IRR_010	2016-01-22	Ehichioya et al.	LIII	MK107941	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107941	Homo sapiens	Nigeria	Taraba
