accession	clade_membership	reference
MG812648	LIV_V	annotated from Nextstrain
MG812647	LIV_V	annotated from Nextstrain
AF181854	LII	annotated from Nextstrain
MG812645	LIV_V	annotated from Nextstrain
MG812643	LIV_V	annotated from Nextstrain
MG812641	LII	annotated from Nextstrain
MG812639	LIV_V	annotated from Nextstrain
MG812636	LIV_V	annotated from Nextstrain
MG812635	LIII	annotated from Nextstrain
MG812632	LIV_V	annotated from Nextstrain
MG812631	LIV_V	annotated from Nextstrain
MG812685	LIV_V	annotated from Nextstrain
MG812683	LIV_V	annotated from Nextstrain
MG812681	LII	annotated from Nextstrain
MG812679	LIV_V	annotated from Nextstrain
MG812675	LI	annotated from Nextstrain
MG812658	LIV_V	annotated from Nextstrain
MG812650	LIV_V	annotated from Nextstrain
OM140827	LII	annotated from Nextstrain
OM140829	LIII	annotated from Nextstrain
OM140831	LIII	annotated from Nextstrain
KM822128	LI	annotated from Nextstrain
AF181853	LI	annotated from Nextstrain
AY628208	LI	annotated from Nextstrain
AY628207	LI	annotated from Nextstrain
X52400	LIII	annotated from Nextstrain
OL774861	LIII	annotated from Nextstrain
MK107965	LIII	annotated from Nextstrain
MH053478	LIII	annotated from Nextstrain
AY628206	LIII	annotated from Nextstrain
MK107929	LIII	annotated from Nextstrain
MH053476	LIII	annotated from Nextstrain
GU481070	LIII	annotated from Nextstrain
GU481072	LIII	annotated from Nextstrain
MZ169799	LIII	annotated from Nextstrain
MK117971	LIII	annotated from Nextstrain
MH887809	LIII	annotated from Nextstrain
MZ169797	LIII	annotated from Nextstrain
MK107921	LIII	annotated from Nextstrain
MK107930	LIII	annotated from Nextstrain
KT992424	LIII	annotated from Nextstrain
KT992423	LIII	annotated from Nextstrain
KT992422	LIII	annotated from Nextstrain
MK107949	LIII	annotated from Nextstrain
MH053475	LIII	annotated from Nextstrain
MK107933	LIII	annotated from Nextstrain
MK117849	LIII	annotated from Nextstrain
MH053472	LIII	annotated from Nextstrain
MK107968	LIII	annotated from Nextstrain
MZ169795	LIII	annotated from Nextstrain
MZ169791	LIII	annotated from Nextstrain
MK107914	LIII	annotated from Nextstrain
MK107910	LIII	annotated from Nextstrain
MK107935	LIII	annotated from Nextstrain
AF333969	LIII	annotated from Nextstrain
MK107932	LIII	annotated from Nextstrain
MK107931	LIII	annotated from Nextstrain
MK107934	LIII	annotated from Nextstrain
MH053463	LIII	annotated from Nextstrain
MK107941	LIII	annotated from Nextstrain
MZ169793	LIII	annotated from Nextstrain
MH053480	LIII	annotated from Nextstrain
MK107917	LIII	annotated from Nextstrain
KM821980	LIII	annotated from Nextstrain
MK107912	LIII	annotated from Nextstrain
MK107918	LIII	annotated from Nextstrain
MH053470	LIII	annotated from Nextstrain
MH053482	LIII	annotated from Nextstrain
MK107939	LIII	annotated from Nextstrain
MK107940	LIII	annotated from Nextstrain
MK107953	LIII	annotated from Nextstrain
MK107899	LIII	annotated from Nextstrain
MH053589	LIII	annotated from Nextstrain
MK118034	LIII	annotated from Nextstrain
MK117989	LIII	annotated from Nextstrain
MH053468	LIII	annotated from Nextstrain
MK118011	LIII	annotated from Nextstrain
MK107945	LIII	annotated from Nextstrain
MK107911	LIII	annotated from Nextstrain
MK107900	LIII	annotated from Nextstrain
MK107954	LIII	annotated from Nextstrain
MK117952	LIII	annotated from Nextstrain
MK117852	LIII	annotated from Nextstrain
MK107947	LIII	annotated from Nextstrain
MK107920	LIII	annotated from Nextstrain
MK107919	LIII	annotated from Nextstrain
MH053474	LIII	annotated from Nextstrain
KF478769	LIV_V	annotated from Nextstrain
OL774863	LIV_V	annotated from Nextstrain
KF478767	LIV_V	annotated from Nextstrain
KF478765	LIV_V	annotated from Nextstrain
KF478768	LIV_V	annotated from Nextstrain
KF478766	LIV_V	annotated from Nextstrain
FR832711	LIV_V	annotated from Nextstrain
AF246121	LIV_V	annotated from Nextstrain
MG812669	LIV_V	annotated from Nextstrain
MH215289	LIV_V	annotated from Nextstrain
