virus,first_fail_threshold
NC_004293.1,0.01
NC_040762.1,0.01
NC_039009.1,0.01
NC_038364.1,0.01
NC_012776.1,0.01
NC_010757.1,0.01
NC_010756.1,0.01
NC_010700.1,0.01
NC_010254.1,0.01
NC_010253.1,0.01
NC_010247.1,0.01
NC_010758.1,0.01
NC_006447.1,0.01
NC_005081.1,0.01
NC_010248.1,0.02
NC_010256.1,0.02
NC_010562.1,0.02
NC_005894.1,0.02
NC_055439.1,0.02
NC_010701.1,0.03
NC_005078.1,0.03
NC_023764.1,0.03
NC_013057.1,0.04
NC_005077.1,0.04
NC_078102.1,0.05
NC_077807.1,0.05
NC_004294.1,0.05
NC_027135.1,0.05
NC_026018.1,0.05
NC_018710.1,0.05
NC_016152.1,0.05
NC_006575.1,0.05
NC_039012.1,0.06
NC_007903.1,0.06
NC_078106.1,0.06
NC_078696.1,0.06
NC_078292.1,0.08
NC_007905.1,0.09
NC_027134.1,0.1
NC_078697.1,0.1
NC_038367.1,0.11
NC_079107.1,0.15
NC_026246.1,0.16
NC_004296.1,0.301
